acronym;term;origin
REGULAT;Regulatory;purdue
REHAB;Rehabilitation;purdue
REINV;Reinvestment;purdue
REM;Radiological And Environmental Management;purdue
REM.;Remit;purdue
REN;Renewal;purdue
RENOV;Renovations;purdue
REP;Repair;purdue
REPL;Replacement;purdue
RES;Research/Reserve/Resident;purdue
RESFOR;Reserve For;purdue
REST;Restricted;purdue
RESURF;Resurfacing;purdue
RET;Retirement;purdue
REV;Revenue;purdue
REVIS;Revision;purdue
RHI;Restaurant, Hotel & Institutional Mgmt.;purdue
RM&ML;Room And Meals;purdue
S & E;Supplies And Expense;purdue
S & W;Salaries And Wages;purdue
SAH;Structural Alloys Handbook;purdue
SAL.;Salaries;purdue
SALV.;Salvage;purdue
SANIT.;Sanitation;purdue
SCH;School;purdue
SCHEDUL.;Schedule;purdue
SCHED;Schedule;purdue
SCI;Scientific;purdue
SEB;State Egg Board;purdue
SECT;Sectioning;purdue
SEP;Separately;purdue
SER;Service;purdue
SERV;Service;purdue
SFO;Supervised Flight Operations;purdue
SH;Sheet;purdue
SHAR;Share/Sharing;purdue
SINGL;Single;purdue
SOC;Societies;purdue
SP;Sponsored;purdue
SPEC.;Specialized;purdue
SPON;Sponsored;purdue
SS;Social Security;purdue
SSF;Specialized Service Facilities;purdue
ST;Student/State/Short Term;purdue
STA;Station;purdue
STFS;Short Term Field Staff;purdue
STFUNCT;Student Functions;purdue
STU;Student;purdue
STUD;Student;purdue
STDT;Student;purdue
SUBJ;Subject;purdue
SUM;Summer;purdue
SUP;Supplies;purdue
SUPP;Supplies;purdue
SURG;Surgery;purdue
SUR;Surgery;purdue
SVC;Services;purdue
SYS;System;purdue
TCKT;Tickets;purdue
TECH;Technology;purdue
TELECOM;Telecommunications;purdue
TEMP;Temporary;purdue
TERM.;Terminal;purdue
TIF;Temporary Investment Fund;purdue
TOURN;Tournament;purdue
TP;Ticket Price;purdue
TPA;Third Party Administrator;purdue
TRANSC;Transcripts;purdue
TRANSF.;Transfers;purdue
TRANSP.;Transportation;purdue
TRANS;Transportation;purdue
TRAV;Travel;purdue
TRA;Travel;purdue
TREAS;Treasurer;purdue
TR;Treasurer;purdue
TRVL;Travel;purdue
UNAM;Unamortized;purdue
UNAMORT;Unamortized;purdue
UND.GRAD;Undergraduate;purdue
UNDIST.;Undistributed;purdue
UNEMP;Unemployment;purdue
UNIV;University;purdue
UNR;Unrestricted;purdue
UNRED.;Unredeemed;purdue
UNREST.;Unrestricted;purdue
UPS;United Postal Service;purdue
US;United States;purdue
US.R;United States Resident;purdue
USDA;United States Department Of Agriculture;purdue
UTIL;Utilities;purdue
VCS;Voluntary Cost Sharing;purdue
VEH;Vehicle;purdue
VEND;Vending;purdue
VENT;Ventilation;purdue
VET;Veterinary;purdue
VIS;Visitor;purdue
VIT;Vitamin;purdue
VP;Vice President;purdue
VTE;Vocational Technical Education;purdue
WITH;Withholding;purdue
WIP;Work In Process;purdue
WL;West Lafayette;purdue
WS;Work Study;purdue
YTD;Year To Date;purdue
ACCG;Accounting;rasmussen
AE;Accrued expenses;rasmussen
AP;Accounts payable;rasmussen
AR;Accounts receivable;rasmussen
B&C;Bonds and coupons;rasmussen
BS;Balance sheet;rasmussen
CA;Current assets;rasmussen
CAP;Capital;rasmussen
CF;Cash flow;rasmussen
CL;Current liabilities;rasmussen
COGS;Cost of goods sold;rasmussen
CPA;Certified public accountant;rasmussen
CR;Credit;rasmussen
DR;Debit;rasmussen
EA;Enrolled agent;rasmussen
FA;Fixed assets;rasmussen
FE;Fixed expenses;rasmussen
GAAP;Generally accepted accounting principles;rasmussen
GL;General ledger;rasmussen
LLC;Limited liability company;rasmussen
LTL;Long-term liabilities;rasmussen
NI;Net income;rasmussen
OE;Equity and owner's equity;rasmussen
OE;Operation expenses;rasmussen
P&L;Profit and loss statement;rasmussen
PV;Present value;rasmussen
ROI;Return on investment;rasmussen
S-CORP;Subchapter S corporation;rasmussen
VE;Variable expenses;rasmussen
1H;1st Half;wikipedia
ADR;American Depositary Receipt;wikipedia
AOP;Annual Operating Plan;wikipedia
AP;Accounts payable;wikipedia
ARPU;Average revenue per user;wikipedia
ASP;Average selling price;wikipedia
ASAP;As soon as possible;wikipedia
agcy.;Agency;wikipedia
agt.;Agent;wikipedia
asst.;Assistant;wikipedia
a/c.;Account;wikipedia
afaik.;As far as I know;wikipedia
AWS;AMAZON WEB SERVICES;wikipedia
BAU;Business As Usual;wikipedia
BEP;Break Even Point;wikipedia
bldg.;Building;wikipedia
BLS;Balance Sheet;wikipedia
BMC;Business Model Canvas;wikipedia
BOM;Bill of Materials;wikipedia
BPR;Brief Project Report;wikipedia
BPV;Bank Payment Voucher;wikipedia
BRD;Business Requirements Document;wikipedia
BRU;Business Recovery Unit;wikipedia
BRV;Bank Receipt Voucher;wikipedia
B2B;Business-to-business;wikipedia
B2C;Business to Consumer;wikipedia
B2G;Business-to-government;wikipedia
BUSI;business;wikipedia
bus.;business;wikipedia
CAO;Chief Administrative Officer;wikipedia
CAGR;Compound annual growth rate;wikipedia
CAPEX;Capital Expenditure;wikipedia
CAPM;Capital asset pricing model;wikipedia
CBOE;Chicago Board Options Exchange;wikipedia
CBOT;Chicago Board of Trade;wikipedia
CDO;Collateralized debt obligation;wikipedia
CDM;Change and Data Management;wikipedia
CDS;Credit default swap;wikipedia
CEO;Chief executive officer;wikipedia
COA;Chart of Account;wikipedia
CFA;Chartered Financial Analyst;wikipedia
CFD;Contract for difference;wikipedia
CFC;Consumption of fixed capital;wikipedia
CFCT;Cash Flow Cycle Time;wikipedia
CFM;Certified Financial Manager;wikipedia
CFO PEX;Capital Expenditures;wikipedia
CFO;Chief Financial Officer;wikipedia
CFS;Consolidated Financial Statement;wikipedia
CIA;Certified Internal Auditor;wikipedia
CIF;Cost Insurance With Freight;wikipedia
CIMA;Chartered Institute of Management Accountants;wikipedia
CIO;Chief Information Officer or Chief Investment Officer;wikipedia
CISA;Certified Information Systems Auditor;wikipedia
CIP;Carriage and Insurance Paid;wikipedia
CMA;Certified Management Accountant;wikipedia
CMFB;Committee on monetary, finance and balance of payments statistics;wikipedia
CMO;Chief Marketing Officer;wikipedia
COB;Close of Business;wikipedia
COGS;Cost of Goods Sold;wikipedia
Corp.;Corporation;wikipedia
COO;Chief Operating Officer;wikipedia
CPA;Certified Public Accountant;wikipedia
CPQ;Configure, Price, Quote;wikipedia
CPI;Consumer Price Index;wikipedia
CPU;Central Processing Unit;wikipedia
CSI;Continual Service Improvement;wikipedia
CSO;Chief Security Officer;wikipedia
CSR;Corporate social responsibility;wikipedia
CRM;Customer Relationship Management;wikipedia
CVP;Cost Volume Profit;wikipedia
C2B;Consumer;wikipedia
CTO;Chief Technology Officer;wikipedia
C&F;Cost With Freight;wikipedia
CX;Customer Experience;wikipedia
CKM;Customer Knowledge Management;wikipedia
CTC;Cost to company;wikipedia
Cr;Credit;wikipedia
CA;Current Account;wikipedia
DDA;Depletion Depreciation Amortization;wikipedia
Dept.;Department;wikipedia
DI;Dispatch information;wikipedia
Dir;Director;wikipedia
disc.;Discount;wikipedia
DMA;Direct market access;wikipedia
DR;Depositary receipt;wikipedia
DSP;Delivery service provider;wikipedia
DTP;Desktop Publishing;wikipedia
DVP;Delivery versus payment;wikipedia
DSO;Days Sales Outstanding;wikipedia
DPO;Days Payable Outstanding;wikipedia
EAR;Effective annual rate;wikipedia
EAY;Effective Annual Yield;wikipedia
EBITA;Earnings before interest and taxes and amortization;wikipedia
EBITDA;Earnings before Interest, Taxes, Depreciation, and Amortization;wikipedia
ECB;European Central Bank;wikipedia
EDI;Electronic Data Interchange;wikipedia
EFSM;European Financial Stabilisation Mechanism;wikipedia
EFTPOS;Electronic Funds Transfer at Point of Sale;wikipedia
EPS;Earnings per share;wikipedia
EXP;Export;wikipedia
EOB;End of business;wikipedia
EOD;End of day;wikipedia
EOM;End of Message;wikipedia
ERP;Enterprise Resource Planning;wikipedia
ETA;Estimated Time of Arrival;wikipedia
ETD;Estimated Time of Delivery;wikipedia
EMI;Equated Monthly Installment;wikipedia
EPC;Export Promotion Council;wikipedia
ECGC;Export Credit Guarantee Corporation of India;wikipedia
EXW;Ex Works;wikipedia
FAB;Feature Advantage Benefits;wikipedia
FDP;Finance Department;wikipedia
FOB;Freight On Board;wikipedia
FIFO;First In, First Out;wikipedia
FinMin;Finance Minister;wikipedia
Fin Min;Finance Minister;wikipedia
FL;Financial leverage;wikipedia
FOMC;Federal Open Market Committee;wikipedia
FP&A;Financial Planning & Analysis;wikipedia
FPO;Follow on public offer;wikipedia
FIX;Financial Information Exchange;wikipedia
FSA;Financial Services Authority;wikipedia
FX;Foreign exchange market;wikipedia
FYI;For Your Information;wikipedia
FOC;Free Of Cost;wikipedia
FYA;For Your Action;wikipedia
FTE;Full Time Equivalent;wikipedia
F/U;Follow-Up;wikipedia
GAAP;Generally Accepted Accounting Principles;wikipedia
GAAS;Generally Accepted Audit Standards;wikipedia
GDP;Gross Domestic Product;wikipedia
GDPR;General Data Protection Regulation;wikipedia
GDR;Global depository receipt;wikipedia
GFCF;Gross fixed capital formation;wikipedia
GL;General Ledger;wikipedia
GMV;Gross Merchandise Volume;wikipedia
GP;Gross Profit;wikipedia
GPO;Group purchasing organization;wikipedia
GRN;Goods Receipt Note;wikipedia
GRNI;Goods Receipt Not Invoiced;wikipedia
GSV;Gross Sales Value;wikipedia
GVC;Global Value Chain;wikipedia
GMROII;Gross Margin Return on Inventory Investment;wikipedia
G&A;General and Administration expense;wikipedia
HMRC;Her Majesty's Revenue and Customs;wikipedia
HP;Hire purchase;wikipedia
HQ;Headquarters;wikipedia
HR;Human Resources;wikipedia
HRD;Human Resource Development;wikipedia
HS Code;Harmonized Commodity Description and Coding System;wikipedia
IAS;International Accounting Standards;wikipedia
ICB;Industry Classification Benchmark;wikipedia
ICRM;Innovative Customer Relationship Management;wikipedia
IE;Interest expense;wikipedia
IFRS;International Financial Reporting Standard;wikipedia
ILCLP;IdentLogic Systems Customer Loyalty Program;wikipedia
IMF;International Monetary Fund;wikipedia
IMP;Import;wikipedia
Inc.;Incorporated;wikipedia
IoT;Internet of Things;wikipedia
IPO;Initial Public Offering;wikipedia
IR;Interest Rate;wikipedia
IRS;Internal Revenue Service;wikipedia
ISIN;International Securities Identification Number;wikipedia
ISM;Institute of Supply Management;wikipedia
IYR;In Year Revenue;wikipedia
IPT;Item Per Transaction;wikipedia
J;Journal;wikipedia
JIT;Just in time;wikipedia
JIS;Just in sequence;wikipedia
JST;Joint Supervisory Team;wikipedia
KIBOR;Karachi Interbank Offered Rate;wikipedia
KPI;Key Performance Indicators;wikipedia
KYC;Know Your Customer;wikipedia
LBO;Leveraged Buyout;wikipedia
LC;Letter of credit;wikipedia
LIBOR;London Interbank Offered Rate;wikipedia
LE;Latest Estimate;wikipedia
LIFFE;London International Financial Futures and Options Exchange;wikipedia
LIFO;Last In, First Out;wikipedia
LLC;Limited Liability Company;wikipedia
LME;London Metal Exchange;wikipedia
Ltd.;Limited Company;wikipedia
LTV;Loan to Value;wikipedia
LoU;Letters of Undertaking;wikipedia
MBS;mortgage;wikipedia
mfg.;Manufacturing;wikipedia
MGMT;Management;wikipedia
MIC;Market Identifier Code;wikipedia
MoM;Month on Month / Month over Month;wikipedia
MOQ;Minimum Order Quantity;wikipedia
MOU;Memorandum of understanding;wikipedia
MPC;marginal propensity to consume;wikipedia
MRO;Maintenance, Repair, and Operations;wikipedia
MRP;Maximum Retail Price;wikipedia
MSOD;Monthly Statement of Select Operational Data;wikipedia
MSRP;Manufacturer's Suggested Retail Price;wikipedia
MTD;Month-to-date;wikipedia
MWC;Managerial Working Capital;wikipedia
NAV;Net asset value;wikipedia
NCBO;No Change of Beneficial Ownership;wikipedia
NCND;Non-Circumvent and Non-Disclosure;wikipedia
NDA;Non-Disclosure Agreement;wikipedia
NII;Net Interest Income;wikipedia
NIM;Net Interest Margin;wikipedia
NOA;Net Operating Assets;wikipedia
NOI;Net Operating Income;wikipedia
NOPAT;Net Operating Profit After Tax;wikipedia
NPL;Non-performing loan;wikipedia
NPV;Net Present Value;wikipedia
NTE;Not To Exceed;wikipedia
NYMEX;New York Mercantile Exchange;wikipedia
NYSE;New York Stock Exchange;wikipedia
OC;Opportunity Cost;wikipedia
OCF;Operating cash flow;wikipedia
OECD;Organisation for Economic Co;wikipedia
OEM;Original Equipment Manufacturer;wikipedia
OIBDA;Operating Income Before Depreciation And Amortization;wikipedia
OPEX;Operational Expenditures;wikipedia
OTC;Over-the-counter;wikipedia
OOO;Out of Office;wikipedia
PA;Purchasing agent;wikipedia
PA;Promotional Activity;wikipedia
PAT;Profit After Tax;wikipedia
PBT;Profit Before Tax;wikipedia
P/E;Price-to-earnings ratio;wikipedia
PEG;Price-to-earnings growth ratio;wikipedia
P&L;Profit and Loss;wikipedia
PI;Professional Indemnity (insurance coverage);wikipedia
pip;Percentage in point;wikipedia
PMAC;Period Moving Average Cost;wikipedia
PO;Profit Objective or Purchase Order;wikipedia
POS;Point of sale;wikipedia
PP&E;Property, plant, and equipment;wikipedia
PPP;Public-private partnership;wikipedia
PPP;Purchasing power parity;wikipedia
PR;Purchase Requisition;wikipedia
PHEK;Planherstellungskosten;wikipedia
PTD;Project to Date;wikipedia
PPt;Power point presentation;wikipedia
PWIN;Percent win;wikipedia
QC;Quality control or Quality costs;wikipedia
QoQ;Quarter on quarter;wikipedia
q/q;Quarter on quarter;wikipedia
QTD;Quarter-to-date;wikipedia
RAQSCI;Regulatory, Assurance of Supply, Quality, Service, Cost, Innovation;wikipedia
RBI;Reserve Bank of India;wikipedia
RBA;Reserve Bank of Australia;wikipedia
RE;Retained Earnings;wikipedia
RFI;Request for information;wikipedia
RFP;Request for Proposal;wikipedia
RFQ;Request for Quotation;wikipedia
ROA;Return on assets;wikipedia
ROC;Registration Of Company;wikipedia
ROCE;Return On Capital Employed;wikipedia
ROE;Return on Equity;wikipedia
ROI;Return on Investment;wikipedia
ROIC;Return on Invested Capital;wikipedia
RONA;Return on net assets;wikipedia
ROS;Return on Sales;wikipedia
RR;Resource rent;wikipedia
RSP;Retail selling price;wikipedia
R&D;Research and Development;wikipedia
RC;Retail Company;wikipedia
St;Sales, during time period t.;wikipedia
S&M;Sales & Marketing;wikipedia
S&OP;Sales and operations planning;wikipedia
SAAS;Software-as-a-Service;wikipedia
SCM;Supply Chain Management;wikipedia
SCBA;Social Cost Benefit Analysis;wikipedia
SEBI;Securities and Exchange Board of India;wikipedia
SEC;Securities and Exchange Commission;wikipedia
SG&A;Sales, General, and Administrative expenses;wikipedia
SIOP;Sales Inventory and Operations Plan;wikipedia
SIR;Stores Issuance Requisition;wikipedia
SIV;Structured investment vehicle;wikipedia
SKU;Stock keeping unit;wikipedia
SLA;Service Level Agreement;wikipedia
SME;Small and Medium Enterprises;wikipedia
SOHO;Small Office/Home Office;wikipedia
SOP;Standard Operating Procedure;wikipedia
SOW;Statement of Work;wikipedia
SOX;Sarbanes-Oxley;wikipedia
SROI;Social return on investment;wikipedia
STP;Situation Target Proposal;wikipedia
STP;Situation Target Path;wikipedia
SUA;Start Up Agreement;wikipedia
TCO;Total Cost of Ownership;wikipedia
TCV;Total Contract Value;wikipedia
TSR;Total Shareholder Return;wikipedia
TB;Transaction Banking;wikipedia
TBD;To Be Defined;wikipedia
TBC;To Be Completed;wikipedia
TQM;Total Quality Management;wikipedia
TOTW;Time Off for Time Worked;wikipedia
TTM;Trailing Twelve Months;wikipedia
USP;Unique Selling Proposition;wikipedia
VAD;Value-Added Distributor;wikipedia
VAT;Value-Added Tax;wikipedia
VAR;Value-Added Reseller;wikipedia
VC;Venture Capital;wikipedia
VaR;Value at Risk;wikipedia
WACC;Weighted average cost of capital;wikipedia
WC;Working capital;wikipedia
WFH;Work From Home;wikipedia
wk;week;wikipedia
wrk;work;wikipedia
wo;work order;wikipedia
WIGs;Wildly Important Goals;wikipedia
wasp;weighted average selling price;wikipedia
WLL;With Limited Liability;wikipedia
w.r.t;With Respect To;wikipedia
WTI;West Texas Intermediate;wikipedia
WVN;Withdraw Voucher Note;wikipedia
WHT;Withholding Tax;wikipedia
WTO;World Trade Organization;wikipedia
WTD;Week-To-Date;wikipedia
WW;World Wide;wikipedia
YTD;Year-to-date;wikipedia
YTG;Year-to-go;wikipedia
YOY;Year-over-year;wikipedia
YTC;Yet-To-Confirm;wikipedia
FYF;Full Year Forecast;wikipedia
zcyc;Zero Coupon Yield Curve;wikipedia
ZOPA;Zone of Possible Agreement;wikipedia
CTOC;c�mara dos t�cnicos oficiais de contas (portugal);abbreviations.com
amlo;anti money laundering office;abbreviations.com
ebidta;earnings before depreciation interest taxes and amortization;abbreviations.com
NADCAP;National Aerospace and Defense Contractors Accreditation Program;abbreviations.com
afscme;American Federation of State, County and Municipal Employees;abbreviations.com
